incorrect,informal,formal
incorrect,formal,informal
incorrect,informal,formal
incorrect,informal,formal
incorrect,formal,informal
incorrect,informal,formal
incorrect,informal,formal
incorrect,formal,informal
incorrect,informal,formal
incorrect,informal,formal
incorrect,formal,informal
correct,informal,informal
incorrect,informal,formal
incorrect,informal,formal
correct,formal,formal
incorrect,informal,formal
incorrect,informal,formal
incorrect,informal,formal
incorrect,informal,formal
incorrect,formal,informal
incorrect,informal,formal
incorrect,informal,formal
incorrect,formal,informal
incorrect,informal,formal
incorrect,informal,formal
incorrect,informal,formal
incorrect,formal,informal
incorrect,informal,formal
incorrect,formal,informal
incorrect,formal,informal
incorrect,formal,informal
correct,informal,informal
correct,formal,formal
incorrect,informal,formal
incorrect,informal,formal
incorrect,informal,formal
incorrect,informal,formal
correct,informal,informal
incorrect,formal,informal
incorrect,formal,informal
incorrect,informal,formal
incorrect,informal,formal
incorrect,informal,formal
correct,formal,formal
correct,formal,formal
incorrect,informal,formal
incorrect,informal,formal
incorrect,formal,informal
incorrect,informal,formal
incorrect,formal,informal
incorrect,formal,informal
incorrect,informal,formal
incorrect,informal,formal
incorrect,formal,informal
incorrect,informal,formal
incorrect,formal,informal
incorrect,formal,informal
incorrect,informal,formal
correct,formal,formal
incorrect,formal,informal
incorrect,informal,formal
incorrect,informal,formal
correct,formal,formal
incorrect,informal,formal
incorrect,formal,informal
incorrect,informal,formal
incorrect,formal,informal
correct,informal,informal
correct,informal,informal
incorrect,informal,formal
incorrect,formal,informal
incorrect,formal,informal
incorrect,informal,formal
incorrect,formal,informal
correct,informal,informal
incorrect,formal,informal
incorrect,informal,formal
incorrect,formal,informal
incorrect,informal,formal
correct,informal,informal
incorrect,informal,formal
incorrect,informal,formal
correct,informal,informal
incorrect,formal,informal
correct,formal,formal
correct,formal,formal
incorrect,formal,informal
incorrect,informal,formal
correct,formal,formal
incorrect,informal,formal
correct,informal,informal
incorrect,informal,formal
incorrect,formal,informal
incorrect,formal,informal
correct,informal,informal
incorrect,informal,formal
correct,informal,informal
correct,informal,informal
incorrect,informal,formal
incorrect,informal,formal
incorrect,informal,formal
incorrect,formal,informal
incorrect,formal,informal
incorrect,informal,formal
incorrect,informal,formal
incorrect,formal,informal
incorrect,formal,informal
incorrect,informal,formal
incorrect,formal,informal
incorrect,informal,formal
