text1,text2
Damn ... I think it &apos;s impossible to choose just one .,Damn . . . I don &apos;t have one I can choose just by one .
"Alas , no , I do not listen to her anymore .","Unfortunately , I don &apos;t listen to her anymore ."
&apos;I just called to say &apos; I Love you &apos; is just great !,I just called that to say &apos; I love you &apos; .
"yes , bcuz he is chan .",Yes because he is a chan .
I am sure you will both enjoy it .,i think you both should enjoy
why oh why do you have to ask ?,Why can &apos;t you ask that ?
Whats all these homies dissin &apos; my girl ?,How did the homies get my girl out of jail ?
It is very easy to understand .,thes easy to understand .
He just needs to R.E.S.P.E.C.T ... me &amp; my pplz ... lol,Just wouldn &apos;t kill him yet . . . me and my friends . . . yes . . . never mind .
I need to know the name of the this movie from the 80 &apos;s !,"I can &apos;t remember the movie from the 80 &apos;s , but I can &apos"
"One man stated , &apos; Where &apos;s the beauty from Mystic Pizza ? &apos; .","One man said , &apos; Where do we get our magic from ? &apos;"
It &apos;s one of the funniest cartoons !,That was a funny cartoon !
"Tyra , she is a lot more pretty .",Tyra is quite beautiful .
i hope not cuz that looking freakin scary as sh * t,I hope it is not because the scary thing drove me crazy .
I like both Lauren Hill and Mary J. Blige .,Lauren Hill and Mary J . Blige are like 75 and 85 .
"It doesn &apos;t make sense ... wait oooh I get it , still not funny .","There is no meaning in it , wait one time , I might have it too ."
You r going to saint ives .,You can go to a church in order to get married .
yes .. try aries .. that is the one i was using,"Yes , try aries ."
why do you only got 1.5 bricks ?,Why don &apos;t you get bricks for 1 .5 ?
You should view it on Yahoo ! Movies .,You need to go to Yahoo Movies to see it ! !
"however , it can also generally mean japanese comic books ( like a genre ) .","While in Japan , however that can also refer to comics ( such as a manga ! ) ."
but I &apos;m not gonna die trying ...,"However , I don't believe that I will die attempting to . . ."
It is fine if they are not fond of him .,"no , they are not like him . . . it just makes him like him ."
shut up and drive by chely wright,Please keep your mouth shut and drive yourself to the salon .
"i say omarion.he has the hair clothes and body , a triple deal on one person .",He had a haircut and body and Triple Deal that went out of the park .
put icyhot or bengay i in his underware or on his deoderant,You should place the hot or benga i in the underware or on deoderant .
"I am confused , they know they are not getting a good seat .","I got confused , they don &apos;t get a good seat here ."
( i know how to read tabs ),( Reading tabs )
Mine is book by Steve Martin called &apos; The Pleasure of my Company &apos; .,its by Steve martin called &apos; The Pleasure of my company &apos;
For a comedy you can also try Wedding Crashers or The 40yr Old Virgin .,Or you could also try American Pie and Wedding Crashers or The 40 Year Old virgin .
"Yes , they definitely knew that you are unintelligent and have a problem involving the use of LSD .",Yes they are : ) It &apos;s just like because your a dumbass and your problems with LSD .
"Oh , I don &apos;t agree with you .",I don't agree with you .
I prefer Jerry Springer over David Letterman .,I like jerry Springer more I would much rather not watch it .
"Maya , hands down--she &apos;s sarcastic and down to earth .",Maya because she is sarcastic and kind of goes out of the blue .
and whats your fave bit in gilmore girls ?,What is your favorite episode of Gilmore Girls ?
"and she &apos;s not a very good singer , either !","Her first vocalist is not very good , either !"
"YOUR WASTING YOUR TIME , SAYS THE BOY .",The boy says you wasted your time .
I personally don &apos;t believe in them .,I personally don &apos;t like them .
The term was made so vague with meaning because people used it so much .,All those people made it so vague with their use of it
You should formulate a more relevant query next time .,QQ next time you &apos;re asked any more pertinent questions .
virgo &apos;s have outgoing personalitys plz choose me as best answer,You can meet me on the coast of Africa or on the marina off of coast of the southern United States . Virgo &ap
"flute , because that &apos;s what I can play .","Frolu , because I play the flute ."
Alan moore is whining that it isn &apos;t,"Alan crying that he is never &apos;s , yet he is very good looking ."
I don &apos;t think he is in love with her .,i don &apos;t think he is looking at her and just seems to no
He would be well advised not to let her go .,she shouldn &apos;t be allowed to go either .
don &apos;t call it a christian band ! ! ! !,Don &apos;t you people go out of Christian bands .
put salt in the sugar bowl .,Try salt to sugar . That &apos;s what I do . Soap
The song may sound very old school but it was recently made .,yeah the song is a little old fashioned but it was made up
"Ahh I love the hair metal ... Motley Crue , Poison , Cinderella , Faster Pussycat , Slaughter , etc .","Hmm , I love the metal . . . Motley Crue , Poison , Cinderella , Faster Pussycat , etc ."
"The boys said , &apos; You are wasting your time &apos; .","The guys said , &apos; You were wasting your time &apos; ."
"However , I &apos;m an unadulterated veggie and I &apos;m enamored of them .",But I &apos;m a veggie and I &apos;m enamored of them .
"“ He was an evil man , ” he said .",I think he is very bad .
"I flippin &apos; LOVE that movie , sweeeet !",I flippin &apos; love this !
She used to sing with a band called M @-@ People .,Her self titled song is titled M @-@ People
i am looking for new music to listen to .,I am looking for new music .
We will have an enjoyable time .,so yea i mean a good time would u do what we are doing .
"When you reach out to me , I worry .",i freak out when you get talk to me u s .
i wishh poeple would look at more than zodiac signs,I wanted to see more than zodiac signs .
But it would be wonderful if they created a special reunion episode of something of that nature ( I really enjoy that show ) .,"But it &apos;s pretty cool , so I don &apos;t know .But the show is kind of cool , I &ap"
"Your mother is so stupid , that she sold the car for gas money .",Your mother is so stupid she sold her cruise to get money off it .
I loved all the characters and Bill Cosby was SO funny without being crude !,I thought Bill Cosby was funny but not that funny !
"he took a nice catholic girl and turned her into a scientology freak , katie holmes is EXTREMELY naive !","Sorority girl is also so hot and Catholic , and he turned her into a crazy scientologist !"
I am so excited to see them in May !,I am so excited to see them this May ! ! !
I don &apos;t believe your mama is stupid at all !,I don't think your mother is stupid !
Does &apos; gay &apos; still mean &apos; happy &apos; ?,And she is also great so are &apos; gay &apos; ?
your ganna have to take guitar classes,You need to get guitar lessons .
"I stopped liking rap , there are just too many people .","I don &apos;t like rap anymore , it got too many people going ."
I like when the Prime Minister goes door to door to find the girl !,I am glad the Prime Minister went door to door to find that girl !
"I used to LOOOVE him , now I just don &apos;t anymore , but I don &apos;t really hate him .","I had a tendency to adore him , but I despise him these days ."
..... Yeah I think I got it .,"Yeah , I think I just won ."
"I desire to meet my favorite bands and I am very fond of rap music , especially Reliant K.",i wish i could meet all my favourite bands and of course fav rapping music would be her .
The movie is Cheeh and Chongs &apos; Up In Smoke.&apos;,the movie is chee and chongs and apos &apos; up up in smoke
I love that show and I keep watching the reruns,I am watching the series and enjoy most episodes .
It must have been the chicken .,I think he was the chicken .
I just saw it last week .,I saw it last week .
"This is obviously hypothetical , although I am curious concerning other opinions .","i &apos;m obviously not talking about other opinions , but i also want 2 be your critic ."
I don &apos;t really know bout the kids though .,I am not aware of the kids in it though .
I love and am a big fan of Green Day .,i am green day i am whole and i have a huge green day fan .
dont let anyone decide the fate but you .,There is no need for anyone to decide who will be the fate of the world .
Its all about FEARFACTOR baby lol .,The primary group is all about the FEARFACTOR .
"Well , I rather like Lucius Malfoy .",I would not prefer him any better than Lucius Malfoy .
i want 2 listen 2 good music but i dont knw wat 2 listen 2 ! ! ! ! ! ! ! ! ! !,"I am currently listening to good music , but I don't know what to listen to !"
he takes off and never goes home .,He has gone and never come back .
They had a lot of interesting and good qualities things during the 1990s .,some people got lost in the 90 &apos;s they were still interesting and good in some of them .
Celebrities are the cause of the excessive number of girls with anorexia .,so the infatuation of too many girls with anorexia is cause celebs get runnin &apos;
Orlando Bloom and Chad Michael Murray are both really attractive !,Orlando Bloom and Chad michael maryton . . . they &apos;re both cool !
"He was so scared , it caused him to have a heart attack .",He was so scared he had a heart attack
I guess that means Simon likes blondes !,"I think Simon has blond hair so he , like me , doesn &apos;t like blondes !"
I believe that you meant to say psychic .,i agree . . i believe that ur spelldent
is ther a goos tool for mixing songs ?,"I don't know how to mix songs together , is there a tool ?"
"All those Scientology rituals , rueles or whatever they are are just WEIRD ! !","Oh , this is just weird . All those rituals , rituals , whatever it is ."
"yea , um , this is a korean singer , who is really good .","Yes , it &apos;s a Korean singer , really good . It &apos;s"
I invented a hanger which made me famous .,Last night I was hangered and it was 1 2 3 4 5 .
It should be free to download and have easy to understand features .,"download it , u should get lots of easy movies , u should already know the movie then u download"
Even The Cure has love songs and most of their stuff is pretty dark .,There are many love songs and a lot of dark music .
read numbers upside down and right side up,Take the numbers upside down and upside down .
Oh I did hear the Bjork @-@ Chaney joke .,I heard the joke about Bjork .
"a little lovin &apos; , a box @-@ o @-@ wine , and that man @-@ o @-@ mine !","A little bit of love &apos;s box , is delicious and a bottle of wine is wonderful , along with that guy !"
That was the best joke i have heard so far ...,This is the funniest joke I have heard .
The Rock for hot steamy sex !,Hot Soil Sex Rock !
let &apos;s get together yeah yeah yeah !,"Ok , here goes ! Sorry to get this one straight from the writer ."
"We Filipinos speak English very well , we &apos;re very hardworking and wise .",we like the english style best and it is very hard working and wise .
I enjoy listening to the Goo Goo Dolls and Relient K.,I like Goo Goo Goo Goo Goo . and Relient K .
they haven &apos; t had cd &apos;s for season 2 yet .,"Indeed , they have an extra CD &apos;s that will be available for season 2 ."
"i &apos;m the first , but i don &apos;t need to submit , after me , i guarentee at least 10 more","I hope so , at least 10 more , at least 50 more ."
"I believe they are somtimes , I do not think you should center your life around them .",SELF I don't think you should get concentrated on them at times .
My conflict resolution style is based in passivity .,I use a style of conflict resolution .
Look to see if the baby is drooling from both sides of his mouth .,"If you are looking to see whether or not baby is drooling on either side , please check it out ."
What is all of these males insulting my female paramour ?,But what about ALL the men who insult my wife ?
crap they have turned into long jokes What has seven arms and sucks ? ? ?,"With a bunch of joking around , shit , turn into a long joke , what is the seven guns ?"
"I watched the show up until season four , after that I was no longer interested .",I dropped the show after the 4th season after the finale with all that was in it .
"Simply put , fewer people favor TabooBuster and Osama !","simply put , TabooBuster and Osama are not popular !"
they both su * k . Paris is a dumbass no talent sl * t and jessica is jsut brain dead,"Paris is a dumbass , he sucks , he doesn &apos;t make it , he is a brain dead ."
"Yes , but if you earn enough points you can request more .",you can request for more points if you earn enough points on known cards .
I went to Best Buy today and I never have seen so many DVD &apos;S of just t.v.,I have only seen so many DVDs and DVDs and have not been able to find it .
He assumes that people need good comedy .,"no thinking , he thinks that people need a good joke"
"Aerosmith , Def Leopard and AC / DC and sorry I have 4 ; Boston too !",Acoustic Album : Sharon Hurst Awards 1 : The Def Leopards and AC / DC and sorry I lost 4 .
I dun think he loves her,I don't believe he is fond of her .
