text1,text2
"Goodbye , Goodbye !","Sola , sola !"
"Oh , rude and unthankful boy !","Oh , ay and honest and ill !"
"Old Montague is here , and he's waving his sword around just to make me mad .","Old of Macbeth , And here his bluest sword Doth not send me mad to make me mad ."
I can read .,I can read that .
Then I'll call you a serving-creature .,Then I'll call you a jade .
"But as soon as the sun rises in the east , my sad son comes home to escape the light .","But as soon as the sun rises in the watery , my sad friend Katherina comes to the light of the fire ."
"Poison , I see , has been the cause of his death .","Thither , I see , has been the cause of his death ."
"Or if it did not , Your first is dead , or 'twere as good he were , As living here and you no use of him .","Or if it doesn't say that , your highness is dead or worse , as if he were , and something you can keep him out of you ."
"There is no world without Verona walls But purgatory , torture , hell itself .","There is no danger they're leaving behind their barks , where God drops itself for hell ."
"Oh , mickle is the powerful grace that lies In herbs , plants , stones , and their true qualities .","Oh , it's the king's army that lies , Horatio , and other , loyal , and their true qualities ."
That villain cousin would have killed my husband .,That villain doesn't love my enemy would have my husband .
"Oh nature , what were you doing in hell ?","O nature , what were you in here in hell ?"
Do not deny to him that you love me .,Don't worry about him that you want to love me .
He was not born to shame .,He was born to shame anymore .
"How should madmen hear , if wise men can't even see ?","How should we hear , if wise men must not see ?"
"The ground is bloody. , Search about the churchyard .","The ground is sailing , that's the lot of something ."
Where are the vile beginners of this fray ?,Where are the branches
Monday !,Let's go !
"Either you , or I , or both of us have to go with him .","Either you , or I , or both of us have go to fetch him ."
"Things have turned out so unluckily , sir , that we haven't had time to convince our daughter to marry you .","Things have turned out so many , sir , that we have had time to our daughter to marry you ."
"Feeling the loss like this , I can't help but weep for him forever .","Alack the loss of mine , I will not weep for him but I thank him ."
"I'll send to one in Mantua , Where that same banished runagate doth live , Shall give him such an unaccustomed dram That he shall soon keep Tybalt company .","I'll send to one in fact , that Cassio means that you're smart , you'll give him an oyster at its army that he won't keep back without company ."
"Then I defy you , stars !","Then I won't mention you , then !"
That is because the traitor murderer lives .,That is because the traitor himself lives .
Confusion's cure lives not In these confusions .,Everything !
Have you killed Tybalt ?,Have you killed well ?
"Come , night .","Come on , gentlemen ."
It looks to me like it's burning in the Capulet tomb .,It looks like to me wear in the obscure tomb .
They must take it in sense that feel it .,They must take it in that sense it's true .
Somebody's knocking .,Roundly replied .
"Be quiet , you mumbling fool !","Be quiet , thou thread , ho !"
Let them judge us however they please .,Let us not meet us so they seek .
Will you speak well of him that killed your cousin ?,Will you speak well about him that your friend ?
"If in thy wisdom thou canst give no help , Do thou but call my resolution wise , And with this knife I'll help it presently .","If your highness has one help you can get no help , don't give you my kind friend , and I'll get this monster before it ."
Be quick for a while and let the one who lives the longest take everything .,Be quick a while and let the one who lives the most bent Of the heavens .
"That I ask again , For nothing can be ill if she be well .","That I ask again , or I'll be angry if she were well ."
Calling death banishment is like cutting off my head with a golden ax and smiling while I'm being murdered .,Grim death !
"Here is a friar that trembles , sighs and weeps .","Here is a lot of sighs and rain , and prepare to capture ."
"But a lot of old people act like they're already dead , sluggish , slow , fat , and colorless , like lead .","But a good thing old people have looked like they are gone , Outlive , sound , and affable , like lead , and firm ."
Tomorrow night look that thou lie alone .,You look there are you dead here .
"No , Romeo will respond to the letter's writer , telling him whether he accepts the challenge .","No , will hie thee to the Sagittary the challenge , Yet he knows not the challenge ."
I am aweary .,I am insulting me .
"He'll wake you up , I bet .","He'll wake you up , I warrant you ."
"Oh , I wish I was the glove on that hand so that I could touch that cheek .","Oh , I am I wish the glove of that hand That I could touch that 'twas twice ."
"Ay , if I know the letters and the language .","Yes , if I know the letters and the language ."
"Now I'll go see my priest , to ask for his help and tell him about my good luck .","Now shall I go , my lord , To give his help and tell him my good news ."
"Peter , wait for me at the gate .","Villain , thou dost hear for 's ."
"Oh my , my bones ache so much .","O my bones , my bones look so much ."
"Indeed , I should have asked you before who he was .","Indeed , I should have asked you before he was ."
I'm suddenly afraid .,Thus it will be .
Is your man secret ?,Is your master become ?
Please grant my prayer so my faith doesn't turn to despair .,"Hear me my Lysander so , my lord , To hold my peril ."
Nurse !,Damn it !
"Ha , banishment ?","Ha , where's her ?"
"When and where and how We met , we wooed and made exchange of vow , I'll tell thee as we pass , but this I pray : That thou consent to marry us today .","When we're sat and where we met , who made we divide , and of fact , we can tell me as soon as I know , but who doesn't marry you to marry us today ."
"And , as he fell , did Romeo turn and fly .","And , as he fell , will turn and fly away ."
Tis well thou art not fish .,It's not you're getting worse than you .
"Oh , then I see that madmen have no ears .","Oh , then I see that gentlemen to have no ears ."
Let the blood rushing to my cheeks be calmed .,Let the blood be spotted to my age .
That's not so .,That's not necessary .
"You will also confess , I'm sure , that you love me .","You will also confess , It is , that love you me ."
"Take me inside some house , Benvolio , or I'll pass out .","Take me some taper , or we , or none shall pass ."
"If I answered that question , I'd be making confession to you .","If I answered not , That would be served to you ."
"But to say that Tybalt's dead and then say , ""Romeo has been banished."" To say that is like saying that my father , my mother , Tybalt , Romeo , and Juliet have all been killed , they're all dead .","But to say that cloud and then , say that hath been , ""and , say that is my father , that I am , my mother , and , forsooth , hast been all , oh , all they're dead ."
"Oh , that most wicked fiend !","Oh , that most wicked and unnatural !"
And there she shall at Friar Lawrence ' cell Be shrived and married .,And there I'll also be married at poetry until you're so smart .
"And sometime comes she with a tithe-pig's tail Tickling a parson's nose as he lies asleep , Then he dreams of another benefice .","And maybe she comes with a snake weapons put a beast as he sat down , he couldn't ruin another body of a Barbary horses ."
"Without his roe , like a dried herring .","Without his nose , like a dried acorn ."
Hast thou not a word of joy ?,Has he been a word of joy ?
Go wake Juliet .,Go fetch them hither .
"Muffle me , night , awhile .","Wait , you are , Roderigo ."
"Madam , tell me quickly , what day is that ?","Madam , tell me , what is 't , is that ?"
I'll not to bed tonight .,I'll not listen to bed tonight .
You mean however they dare .,You mean they might not .
"Her body sleeps in the Capulet tomb , and her immortal soul lives with the angels in heaven .","Her body sleeps in the earth , And her cursed soul looks with the pale in heaven ."
That's how flimsy and unreal pleasure is .,"Farewell , how affable and vile ."
"At my humble house tonight , you can expect to see dazzling stars that walk on the ground and light the sky from below .","At my house today , I can not know to see How hard that goes on the ground And turn the thick cat from the sky ."
"She's ready to go , but she'll never return .","Bear 'em , go to , but never please ."
Let playful people with light hearts dance .,Let us not quickly turn with ways .
"Your husband lies dead there , and Paris too .","Thy husband lies dead , and there be too ."
"And private in his chamber pens himself , Shuts up his windows , locks fair daylight out , And makes himself an artificial night .","And private in his chamber army , creeping like a tree , groaning feasts , corpses lands and sees a ship an important night ."
What cursed foot wanders this way tonight To cross my obsequies and true love's rite ?,What wicked magician protects me from this way to kiss your brow and grow a long ?
I won't fail .,I will translate .
"Your love says , like an honest gentleman , and a courteous , and a kind , and a handsome , and , I warrant , a virtuous , Where is your mother ?","Your love , like an honest animal , and a kind of a weak , and a handsome , and a fortune-teller , a needy , a virtuous , how is your mother ?"
"Despised , distressed , hated , martyred , killed !","Rescue , fair , damn , aroint , sweet !"
"Your looks are pale and wild , and do import Some misadventure .","Your looks are pale and nasty , and don't want to burn him ."
That dirty rat !,That delicate forbid !
That's foolish .,That's good .
Do you have permission to go out and take confession today ?,Do you have friends to go out and take 'em today ?
"Today's a holiday , so the beggar's shop is shut .","Maintain a train , That the dead hath set out ."
"Her body sleeps in Capels ' monument , And her immortal part with angels lives .","Her body sleeps in Italy , and her sweet York , with her joy is quickly ."
"Then the window lets day in , and life goes out the window .","Then the blow hour in heaven , and life is out the moon ."
Wouldst thou withdraw it ?,Can't God try to cry ?
"Why , how now , Juliet ?","Why , how did you say that ?"
"Wait , Tybalt , wait !","Tut , fie , fie !"
"Poison , I see , hath been his timeless end. , O churl , drunk all , and left no friendly drop To help me after ?","Haven't , I see , has been his own capacities , even if you say , all right , and no little walk after me to help me ?"
Why are you knocking so hard ?,Why dost thou sound so hard ?
I won't miss any chance to send my love to you .,I shall not jump upon this cause To visit my brother .
How long has he been there ?,How long hath he been there ?
"Romeo can , Though heaven can not .","Meanwhile , can what I can ."
